Sample #,General Information,,,,Amount of Material,,,Miscellaneous,Special Comments
,Sample Name*,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount*,Volume (µL),Conc (ng/µL),Purification Method*,
1,1775,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.7,Zymo Quick DNA/RNA,
2,1600,Total RNA,Montipora capitata,ultra pure water,1ug,67.6,14.8,Zymo Quick DNA/RNA,
3,2005,Total RNA,Pocillopora acuta,ultra pure water,1ug,24.3,41.2,Zymo Quick DNA/RNA,
4,2183,Total RNA,Montipora capitata,ultra pure water,1ug,77.5,12.9,Zymo Quick DNA/RNA,
5,1471,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.6,53.9,Zymo Quick DNA/RNA,
6,2026,Total RNA,Pocillopora acuta,ultra pure water,1ug,43.3,23.1,Zymo Quick DNA/RNA,
7,2357,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.8,77.9,Zymo Quick DNA/RNA,
8,1580,Total RNA,Montipora capitata,ultra pure water,1ug,41.7,24,Zymo Quick DNA/RNA,
9,1631,Total RNA,Montipora capitata,ultra pure water,1ug,76.9,13,Zymo Quick DNA/RNA,
10,1754,Total RNA,Montipora capitata,ultra pure water,1ug,64.9,15.4,Zymo Quick DNA/RNA,
11,1103,Total RNA,Pocillopora acuta,ultra pure water,1ug,16,62.6,Zymo Quick DNA/RNA,
12,1644,Total RNA,Montipora capitata,ultra pure water,1ug,59.5,16.8,Zymo Quick DNA/RNA,
13,1131,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.8,Zymo Quick DNA/RNA,
14,1676,Total RNA,Pocillopora acuta,ultra pure water,1ug,24.4,41,Zymo Quick DNA/RNA,
15,2386,Total RNA,Montipora capitata,ultra pure water,1ug,27.5,36.4,Zymo Quick DNA/RNA,
16,2363,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.4,69.4,Zymo Quick DNA/RNA,
17,1418,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.8,Zymo Quick DNA/RNA,
18,1594,Total RNA,Pocillopora acuta,ultra pure water,1ug,34,29.4,Zymo Quick DNA/RNA,
19,1451,Total RNA,Pocillopora acuta,ultra pure water,1ug,34.5,29,Zymo Quick DNA/RNA,
20,1159,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.3,47,Zymo Quick DNA/RNA,
21,1641,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.6,46.4,Zymo Quick DNA/RNA,
22,1205,Total RNA,Pocillopora acuta,ultra pure water,1ug,16.8,59.4,Zymo Quick DNA/RNA,
23,2554,Total RNA,Montipora capitata,ultra pure water,1ug,36.2,27.6,Zymo Quick DNA/RNA,
24,1486,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.1,82.6,Zymo Quick DNA/RNA,
25,1751,Total RNA,Montipora capitata,ultra pure water,1ug,59.2,16.9,Zymo Quick DNA/RNA,
26,1459,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.6,56.7,Zymo Quick DNA/RNA,
